,School,City,County
635,Pacific Community Charter High School,Point Arena,mendocino
636,Point Arena High School,Point Arena,mendocino
637,Potter Valley High School,Potter Valley,mendocino
638,Redwood Academy of Ukiah,Ukiah,mendocino
639,Round Valley High School,Covelo,mendocino
640,South Coast High School,Point Arena,mendocino
641,Ukiah High School,Ukiah,mendocino
642,Whale Gulch High School,Whitethorn,mendocino
643,Willits Charter School,Willits,mendocino
644,Willits High School,Willits,mendocino
645,Yokayo Valley Charter High School,Ukiah,mendocino
646,Atwater High School,Atwater,merced
647,Buhach Colony High School,Atwater,merced
648,Delhi High School,Delhi,merced
649,Dos Palos High School,Dos Palos,merced
650,Golden Valley High School,Merced,merced
651,Gustine High School,Gustine,merced
652,Hilmar High School,Hilmar,merced
653,Le Grand High School,Le Grand,merced
654,Livingston High School,Livingston,merced
655,Los Banos High School,Los Banos,merced
656,Merced High School,Merced,merced
657,Pacheco High School,Los Banos,merced
658,Stone Ridge Christian High School,Merced,merced
659,Valley High School,Atwater,merced
660,Valley High School,Los Banos,merced
661,Valley High School,Merced,merced
662,Great Basin High School,Cedarville,modoc
663,Modoc High School,Alturas,modoc
664,Surprise Valley High School,Cedarville,modoc
665,Warner High School,Alturas,modoc
666,Coleville High School,Coleville,mono
667,Eastern Sierra Academy,Bridgeport,mono
668,Lee Vining High School,Lee Vining,mono
669,Mammoth High School,Mammoth Lakes,mono
670,Greenfield High School,Greenfield,monterey
671,King City High School,King City,monterey
672,Central Coast High School,Seaside,monterey
673,Marina High School,Marina,monterey
674,Monterey High School,Monterey,monterey
675,Seaside High School,Seaside,monterey
676,North Monterey County High School,Castroville,monterey
677,Pacific Grove High School,Pacific Grove,monterey
678,Alisal High School,Salinas,monterey
679,Everett Alvarez High School,Salinas,monterey
680,North Salinas High School,Salinas,monterey
681,Salinas High School,Salinas,monterey
682,Carmel High School,Carmel,monterey
683,Cypress Grove Charter High School for Arts and Science,Carmel,monterey
684,Gonzales High School,Gonzales,monterey
685,Notre Dame High School,Salinas,monterey
686,Palma School,Salinas,monterey
687,Santa Catalina School,Monterey,monterey
688,Soledad High School,Soledad,monterey
689,Stevenson School,Pebble Beach,monterey
690,Trinity Christian High School,Monterey,monterey
691,York School,Monterey,monterey
692,American Canyon High School,American Canyon,napa
693,Calistoga High School,Calistoga,napa
694,Justin-Siena High School,Napa,napa
695,Napa High School,Napa,napa
696,New Technology High School,Napa,napa
697,Pacific Union College Prep School,Angwin,napa
698,St. Helena High School,St. Helena,napa
699,Valley Oak High School,Napa,napa
700,Vintage High School,Napa,napa
701,Bear River High School,Grass Valley,nevada
702,Bitney College Preparatory High School,Grass Valley,nevada
703,Ghidotti Early College High School,Grass Valley,nevada
704,Nevada Union High School,Grass Valley,nevada
705,Sierra Mountain High School,Grass Valley,nevada
706,Tahoe-Truckee High School,Truckee,nevada
707,Anaheim High School,Anaheim,orange
708,Katella High School,Anaheim,orange
709,John F. Kennedy High School,La Palma,orange
710,Loara High School,Anaheim,orange
711,Cypress High School,Cypress,orange
712,Oxford Academy,Cypress,orange
713,Magnolia High School,Anaheim,orange
714,Savanna High School,Anaheim,orange
715,Western High School,Anaheim,orange
716,Brea Canyon Alternative High School,Brea,orange
717,Brea Olinda High School,Brea,orange
718,Aliso Niguel High School,Aliso Viejo,orange
719,Capistrano Valley High School,Mission Viejo,orange
720,Dana Hills High School,Dana Point,orange
721,San Juan Hills High School,San Juan Capistrano,orange
722,San Clemente High School,San Clemente,orange
723,Tesoro High School,Rancho Santa Margarita,orange
724,Fred Newhart Middle School,Mission Viejo,orange
725,Fullerton Union High School,Fullerton,orange
726,La Vista High School,Fullerton,orange
727,Sunny Hills High School,Fullerton,orange
728,Troy High School,Fullerton,orange
729,Buena Park High School,Buena Park,orange
730,La Habra High School,La Habra,orange
731,Sonora High School,La Habra,orange
732,Garden Grove High School,Garden Grove,orange
733,Pacifica High School,Garden Grove,orange
734,Rancho Alamitos High School,Garden Grove,orange
735,Santiago High School,Garden Grove,orange
736,Bolsa Grande High School,Garden Grove,orange
737,La Quinta High School,Westminster,orange
738,Los Amigos High School,Fountain Valley,orange
739,Edison High School,Huntington Beach,orange
740,Huntington Beach High School,Huntington Beach,orange
741,Marina High School,Huntington Beach,orange
742,Ocean View High School,Huntington Beach,orange
743,Westminster High School,Westminster,orange
744,Fountain Valley High School,Fountain Valley,orange
745,Irvine High School,Irvine,orange
746,Northwood High School,Irvine,orange
747,Portola High School,Irvine,orange
748,University High School,Irvine,orange
749,Woodbridge High School,Irvine,orange
750,Laguna Beach High School,Laguna Beach,orange
751,Los Alamitos High School,Los Alamitos,orange
752,Corona del Mar High School,Newport Beach,orange
753,Costa Mesa High School,Costa Mesa,orange
754,Estancia High School,Costa Mesa,orange
755,Early College High School,Costa Mesa,orange
756,Newport Harbor High School,Newport Beach,orange
757,El Modena High School,Orange,orange
758,Orange High School,Orange,orange
759,Villa Park High School,Villa Park,orange
760,Richland Continuation High School,Orange,orange
761,Canyon High School,Anaheim,orange
762,El Camino High School,Placentia,orange
763,El Dorado High School,Placentia,orange
764,Valencia High School,Placentia,orange
765,Esperanza High School,Anaheim,orange
766,Yorba Linda High School,Yorba Linda,orange
767,El Toro High School,Lake Forest,orange
768,Laguna Hills High School,Laguna Hills,orange
769,Mission Viejo High School,Mission Viejo,orange
770,Silverado High School,Mission Viejo,orange
771,Trabuco Hills High School,Mission Viejo,orange
772,Albor Charter School,Santa Ana,orange
773,Century High School,Santa Ana,orange
774,Cesar Chavez High School,Santa Ana,orange
775,Godinez Fundamental High School,Santa Ana,orange
776,Lorin Griset Academy,Santa Ana,orange
777,Middle College High School,Santa Ana,orange
778,Orange County High School of the Arts,Santa Ana,orange
779,Saddleback High School,Santa Ana,orange
780,Santa Ana High School,Santa Ana,orange
781,Segerstrom Fundamental High School,Santa Ana,orange
782,Valley High School,Santa Ana,orange
783,Arnold O. Beckman High School,Tustin,orange
784,Foothill High School,North Tustin,orange
785,Hillview High School,North Tustin,orange
786,Tustin High School,Tustin,orange
787,Bishop Amat Memorial High School,La Puente,orange
788,Mater Dei High School,Santa Ana,orange
789,Rosary High School,Fullerton,orange
790,Santa Margarita Catholic High School,Rancho Santa Margarita,orange
791,Cornelia Connelly High School,Anaheim,orange
792,Padre Pio Academy,Garden Grove,orange
793,JSerra Catholic High School,San Juan Capistrano,orange
794,St. Michael's Preparatory School,Silverado,orange
795,Servite High School,Anaheim,orange
796,Orangewood Academy,Orange,orange
797,Brethren Christian Junior/Senior High School,Huntington Beach,orange
798,Capistrano Valley Christian Schools,San Juan Capistrano,orange
799,Calvary Chapel High School,Santa Ana,orange
800,Crystal Cathedral High School,Garden Grove,orange
801,Saddleback Valley Christian School,San Juan Capistrano,orange
802,Spirit Christian Academy,Tustin,orange
803,Whittier Christian High School,La Habra,orange
804,Grace OC Academy,Anaheim,orange
805,St. Margaret's Episcopal School,Orange,orange
806,Crean Lutheran High School,Irvine,orange
807,Lutheran High School of Orange County,Orange,orange
808,Acaciawood Preparatory Academy,Anaheim,orange
809,Alton School,Cypress,orange
810,Eldorado-Emerson,Orange,orange
811,Fairmont Preparatory Academy,Anaheim,orange
812,Florence Crittenton School,Fullerton,orange
813,Fusion Academy & Learning Center,Huntington Beach,orange
814,Fusion Academy & Learning Center,Mission Viejo,orange
815,Halstrom High School,Mission Viejo,orange
816,Sage Hill School,Newport Beach,orange
817,Silverleaf Academy,Mission Viejo,orange
818,Desert Sands Charter High School,Anaheim,orange
819,Desert Sands Charter High School,Garden Grove,orange
820,Desert Sands Charter High School,Santa Ana,orange
821,Colfax High School,Colfax,placer
822,Del Oro High School,Loomis,placer
823,Forest Lake Christian High School,Auburn,placer
824,Foresthill High School,Foresthill,placer
825,Granite Bay High School,Granite Bay,placer
826,Horizon Charter School,Lincoln,placer
827,Lincoln High School,Lincoln,placer
828,North Tahoe High School,Tahoe City,placer
829,Oakmont High School,Roseville,placer
830,Pine Hills Adventist Academy,Auburn,placer
831,Placer High School,Auburn,placer
832,Rocklin High School,Rocklin,placer
833,Roseville High School,Roseville,placer
834,Sierra Christian High School,Rocklin,placer
835,Squaw Valley Academy,Squaw Valley,placer
836,Whitney High School,Rocklin,placer
837,Woodcreek High School,Roseville,placer
838,Western Sierra Collegiate Academy,Rocklin,placer
839,Chester High School,Chester,plumas
840,Greenville Junior-Senior High School,Greenville,plumas
841,Pine Hills Adventist School,Plumas,plumas
842,Portola High School,Portola,plumas
843,Quincy High School,Quincy,plumas
844,Amistad High School,Indio,riverside
845,Arlington High School,Riverside,riverside
846,Banning High School,Banning,riverside
847,Beaumont High School,Beaumont,riverside
848,California Lutheran High School,Wildomar,riverside
849,Calvary Chapel Christian School,Murrieta,riverside
850,Canyon Springs High School,Moreno Valley,riverside
851,Cathedral City High School,Cathedral City,riverside
852,Centennial High School,Corona,riverside
853,Chaparral High School,Temecula,riverside
854,Christian School of the Desert,Bermuda Dunes,riverside
855,Citrus Hill High School,Perris,riverside
856,Coachella Valley High School,Thermal,riverside
857,Corona High School,Corona,riverside
858,Desert Adventist Academy,Desert Hot Springs,riverside
859,Desert Chapel High School,Palm Springs,riverside
860,Desert Hot Springs High School,Desert Hot Springs,riverside
861,Desert Mirage High School,Thermal,riverside
862,Eagle Mountain  School,Desert Center,riverside
863,Eleanor Roosevelt High School Eastvale,Riverside,riverside
864,Elsinore High School,Wildomar,riverside
865,Grace Chapel of the Desert School,Indio,riverside
866,Great Oak High School,Temecula,riverside
867,Hamilton High School,Anza,riverside
868,Hemet Academy of Applied Academics and Technology,Hemet,riverside
869,Hemet High School,Hemet,riverside
870,Heritage High School,Menifee,riverside
871,Idyllwild Arts Academy,Idyllwild,riverside
872,Indio High School,Indio,riverside
873,John F. Kennedy Middle College High School,Norco,riverside
874,John W. North High School,Riverside,riverside
875,Jurupa Valley High School,Jurupa Valley,riverside
876,La Familia High School,Thermal,riverside
877,La Quinta High School,La Quinta,riverside
878,La Sierra Adventist Academy,Riverside,riverside
879,La Sierra High School,Riverside,riverside
880,Lakeside High School,Lake Elsinore,riverside
881,Lee Pollard High School,Corona,riverside
882,Linfield Christian School,Temecula,riverside
883,Martin Luther King Jr. High School,Riverside,riverside
884,Mater Dei High School,Mecca,riverside
885,Mesa Grande Academy,Calimesa,riverside
886,Mojave Desert  Military Academy,Desert Hot Springs,riverside
887,Mount San Jacinto High School,Cathedral City,riverside
888,Moreno Valley High School,Moreno Valley,riverside
889,Murrieta Mesa High School,Murrieta,riverside
890,Murrieta Valley High School,Murrieta,riverside
891,Norco High School,Norco,riverside
892,Norte Vista High School,Riverside,riverside
893,Notre Dame Catholic High School,Riverside,riverside
894,Nuview Bridge Academy,Nuevo,riverside
895,Orange Grove High School,Corona,riverside
896,Palm Desert High School,Palm Desert,riverside
897,Palm Springs High School,Palm Springs,riverside
898,Palm Valley High School,Rancho Mirage,riverside
899,Palo Verde Valley High School,Blythe,riverside
900,Paloma Valley High School,Menifee,riverside
901,Patriot High School,Riverside,riverside
902,Perris High School,Perris,riverside
903,Quadrille Academy,Indio,riverside
904,Polytechnic High School,Riverside,riverside
905,Ramona High School,Riverside,riverside
906,Rancho Christian School,Temecula,riverside
907,Rancho Mirage High School,Rancho Mirage,riverside
908,Rancho Verde High School,Moreno Valley,riverside
909,River Springs Charter School,County wide charter school,riverside
910,Rubidoux High School,Riverside,riverside
911,San Gorgonio  School,Cabazon,riverside
912,San Jacinto Senior High School,San Jacinto,riverside
913,Santiago High School,Corona,riverside
914,Seaview High School,Thermal/Mecca,riverside
915,Shadow Hills High School,Indio,riverside
916,Sherman Indian High School,Riverside,riverside
917,Southwest Educational Center,Wildomar,riverside
918,Summit High School,La Quinta,riverside
919,Sunnymead High School,Moreno Valley,riverside
920,Tahquitz High School,Hemet,riverside
921,Temecula Preparatory School,French Valley,riverside
922,Temecula Valley High School,Temecula,riverside
923,Temescal Canyon High School,Lake Elsinore,riverside
924,The Ranch Academy,1000 Palms,riverside
925,Val Verde High School,Perris,riverside
926,Valley View High School,Moreno Valley,riverside
927,Vista Calimesa High School,Calimesa/Yucaipa,riverside
928,Vista del Lago High School,Moreno Valley,riverside
929,Vista Murrieta High School,Murrieta,riverside
930,West Shores High School,Salton City/Mecca,riverside
931,West Valley High School,Hemet,riverside
932,Woodcrest Christian School,Riverside,riverside
933,Xavier College Preparatory,Palm Desert,riverside
934,American Legion High School,Central Sacramento,sacramento
935,Arthur A. Benjamin Health Professions High School,Sacramento,sacramento
936,Bella Vista High School,Fair Oaks,sacramento
937,C. K. McClatchy High School,Sacramento,sacramento
938,Calvine High School,Sacramento,sacramento
939,Casa Roble High School,Orangevale,sacramento
940,Center High School,Antelope,sacramento
941,Christian Brothers High School,Central Sacramento,sacramento
942,Cordova High School,Rancho Cordova,sacramento
943,Cosumnes Oaks High School,Elk Grove,sacramento
944,Del Campo High School,Fair Oaks,sacramento
945,East Anthwood Angles High School,East Sacramento,sacramento
946,East Side High School,East Sacramento,sacramento
947,El Camino Fundamental High School,Sacramento,sacramento
948,Elk Grove Charter School,Elk Grove,sacramento
949,Elk Grove High School,Elk Grove,sacramento
950,Encina High School,Sacramento,sacramento
951,Florin High School,South Sacramento,sacramento
952,Folsom High School,Folsom,sacramento
953,Foothill High School,Sacramento,sacramento
954,Franklin D. Roosevelt School,Sacramento,sacramento
955,Franklin High School,Elk Grove,sacramento
956,Galt High School,Galt,sacramento
957,Grant Union High School,North Sacramento,sacramento
958,Golden Valley Charter School,Sacramento,sacramento
959,Highlands High School,North Highlands,sacramento
960,Hiram W. Johnson High School,Sacramento,sacramento
961,Inderkum High School,Sacramento,sacramento
962,Jane Lathrop School,Carmichael,sacramento
963,Jesuit High School of Sacramento,Carmichael,sacramento
964,John F. Kennedy High School,South Sacramento,sacramento
965,K. Robinson Anthwood Continuation High School,East Sacramento,sacramento
966,Laguna Creek High School,Elk Grove,sacramento
967,Lexington Union High School,Central Sacramento,sacramento
968,Loretto High School,Sacramento,sacramento
969,Luther Burbank High School,Sacramento,sacramento
970,Lutheran School,Sacramento,sacramento
971,Mesa Verde High School,Citrus Heights,sacramento
972,Mira Loma High School,Sacramento,sacramento
973,Monterey Trail High School,Elk Grove,sacramento
974,Natomas Charter School,Sacramento,sacramento
975,Natomas High School,Sacramento,sacramento
976,Pleasant Grove High School,Elk Grove,sacramento
977,Rio Americano High School,Sacramento,sacramento
978,Rio Linda High School,Rio Linda,sacramento
979,River Valley School,Sacramento,sacramento
980,Rochester High School,East Sacramento,sacramento
981,Rosemont High School,Sacramento,sacramento
982,Sacramento Adventist Academy,Sacramento,sacramento
983,Sacramento Country Day School,Sacramento,sacramento
984,Sacramento High School,Sacramento,sacramento
985,Sacramento New Technology High School,Sacramento,sacramento
986,Sacramento Preparatory Academy,Sacramento,sacramento
987,Sacramento Valley School,Sacramento,sacramento
988,Sacramento Waldorf School,Fair Oaks,sacramento
989,St. Francis High School,Sacramento,sacramento
990,San Juan High School,Citrus Heights,sacramento
991,Sheldon High School,Sacramento,sacramento
992,Tahaloma High School,Citrus Heights,sacramento
993,Upper Valley High School,East Sacramento,sacramento
994,Valley High School,South Sacramento,sacramento
995,Valley Oak Academy - Mariposa,Citrus Heights,sacramento
996,Victory Christian High School,Carmichael,sacramento
997,Vista del Lago High School,Folsom,sacramento
998,Vista Nueva Career & Technology High School,Sacramento,sacramento
999,West Campus High School,West Sacramento,sacramento
1000,West Heights High School,West Sacramento,sacramento
1001,Wizbin High School,East Sacramento,sacramento
1002,Anzar High School,San Juan Bautista,san benito
1003,San Benito High School,Hollister,san benito
1004,Alta Vista Public Charter,Adelanto,san bernardino
1005,Alta Vista Public Charter,Apple Valley,san bernardino
1006,Alta Vista Public Charter,Hesperia,san bernardino
1007,Alta Vista Public Charter,San Bernardino,san bernardino
1008,Alta Vista South Public Charter,Highland,san bernardino
1009,Apple Valley High School,Apple Valley,san bernardino
1010,Granite Hills High School,Apple Valley,san bernardino
1011,Barstow High School,San Bernardino,san bernardino
1012,Central High Continuation School,San Bernardino,san bernardino
1013,Big Bear High School,Big Bear City,san bernardino
1014,Big Bear STEM School,Big Bear City,san bernardino
1015,Chataqua High School,Big Bear City,san bernardino
1016,Big River School,Big River,san bernardino
1017,Alta Loma High School,San Bernardino,san bernardino
1018,Canyon View High School,San Bernardino,san bernardino
1019,Chaffey Adult School,San Bernardino,san bernardino
1020,Chaffey High School,San Bernardino,san bernardino
1021,Colony High School,San Bernardino,san bernardino
1022,Etiwanda High School,San Bernardino,san bernardino
1023,Los Osos High School,San Bernardino,san bernardino
1024,Montclair High School,San Bernardino,san bernardino
1025,Ontario High School,San Bernardino,san bernardino
1026,Rancho Cucamonga High School,San Bernardino,san bernardino
1027,Valley View High School,Ontario,san bernardino
1028,Chino High School,Chino,san bernardino
1029,Chino Hills High School,Chino Hills,san bernardino
1030,Don Antonio Lugo High School,San Bernardino,san bernardino
1031,Ruben S. Ayala High School,Chino Hills,san bernardino
1032,Bloomington High School,Bloomington,san bernardino
1033,Colton High School,Colton,san bernardino
1034,Grand Terrace High School,Grand Terrace,san bernardino
1035,Slover Mountain High School,Colton,san bernardino
1036,Washington Alternative High School,Colton,san bernardino
1037,Desert Sands Charter High School,Fontana,san bernardino
1038,Desert Sands Charter High School,Rialto,san bernardino
1039,A. B. Miller High School,Fontana,san bernardino
1040,Fontana High School,Fontana,san bernardino
1041,Henry J. Kaiser High School,Fontana,san bernardino
1042,Jurupa Hills High School,Fontana,san bernardino
1043,Summit High School,Fontana,san bernardino
1044,Hesperia High School,Hesperia,san bernardino
1045,Sultana High School,Hesperia,san bernardino
1046,Mojave Desert Public School,Amboy,san bernardino
1047,Twentynine Palms High School,Twentynine Palms,san bernardino
1048,Yucca Valley High School,Yucca Valley,san bernardino
1049,Black Rock High School,Joshua Tree,san bernardino
1050,Needles High School,San Bernardino,san bernardino
1051,The Grove School,San Bernardino,san bernardino
1052,Orangewood Contintuation High School,San Bernardino,san bernardino
1053,Redlands Citrus Valley High School,San Bernardino,san bernardino
1054,Redlands East Valley High School,San Bernardino,san bernardino
1055,Redlands High School,San Bernardino,san bernardino
1056,Doctor John H Milor High School,Rialto,san bernardino
1057,Dwight D. Eisenhower High School,Rialto,san bernardino
1058,Rialto High School,Rialto,san bernardino
1059,Wilmer Amina Carter High School,Rialto,san bernardino
1060,Zupanic High School,Rialto,san bernardino
1061,Rim of the World High School,Lake Arrowhead,san bernardino
1062,Arroyo Valley High School,San Bernardino,san bernardino
1063,Cajon High School,San Bernardino,san bernardino
1064,Pacific High School,San Bernardino,san bernardino
1065,San Andreas High School,San Bernardino,san bernardino
1066,San Bernardino High School,San Bernardino,san bernardino
1067,San Gorgonio High School,San Bernardino,san bernardino
1068,Sierra High School,San Bernardino,san bernardino
1069,Silver Valley High School,Yermo,san bernardino
1070,Chaparral High School,Phelan,san bernardino
1071,Serrano High School,San Bernardino,san bernardino
1072,Upland High School,San Bernardino,san bernardino
1073,Adelanto High School,Adelanto,san bernardino
1074,Maverick High School,Victorville,san bernardino
1075,Silverado High School,Victorville,san bernardino
1076,Victor Valley High School,Victorville,san bernardino
1077,Vista Calimesa High School,Yucaipa/Calimesa,san bernardino
1078,Yucaipa High School,Yucaipa,san bernardino
1079,Aquinas Catholic High School,San Bernardino,san bernardino
1080,Arrowhead Christian Academy,Redlands,san bernardino
1081,Bloomington Christian School,Big Bear Lake,san bernardino
1082,Bloomington Christian School,Bloomington,san bernardino
1083,Crestline High School,Crestline,san bernardino
1084,Grace Chapel of the Desert School,Yucca Valley,san bernardino
1085,Loma Linda Academy,Loma Linda,san bernardino
1086,Mesa Grande Academy,Calimesa/Yucaipa,san bernardino
1087,Mojave Desert  Military Academy,Yucca Valley,san bernardino
1088,Riverside Prep,Oro Grande,san bernardino
1089,Adventist Academy,Yucca Valley/29 Palms,san bernardino
1090,Adventist Academy,Yucaipa/Calimesa,san bernardino
1091,Upland Christian Academy,Rancho Cucamonga,san bernardino
1092,Xavier College Preparatory High School,Palm Desert,san bernardino
1093,Warner High School,Warner Springs,san diego
1094,Borrego Springs High School,Borrego Springs,san diego
1095,Palm Canyon High School,Borrego Springs,san diego
1096,Carlsbad High School,Carlsbad,san diego
1097,Carlsbad Village Academy 10-12,Carlsbad,san diego
1098,Sage Creek High School,Carlsbad,san diego
1099,Coronado High School,Coronado,san diego
1100,Palm Academy for Learning,Coronado,san diego
1101,Diego Valley Charter High School,Escondido,san diego
1102,Center City High School,Escondido,san diego
1103,Escondido Charter High School,Escondido,san diego
1104,Escondido High School,Escondido,san diego
1105,Orange Glen High School,Escondido,san diego
1106,San Pasqual High School,Escondido,san diego
1107,Valley High School,Escondido,san diego
1108,Classical Academy High School,Escondido,san diego
1109,Del Lago Academy,Escondido,san diego
1110,Fallbrook Union High School,Fallbrook,san diego
1111,Ivy High School,Fallbrook,san diego
1112,Oasis High School,Fallbrook,san diego
1113,Diego Valley Charter High School,El Cajon,san diego
1114,Chaparral High School,El Cajon,san diego
1115,El Cajon Valley High School,El Cajon,san diego
1116,El Capitan High School,Lakeside,san diego
1117,Granite Hills High School,El Cajon,san diego
1118,Grossmont High School,La Mesa/El Cajon,san diego
1119,Grossmont Middle College High School,El Cajon,san diego
1120,Helix High School,La Mesa,san diego
1121,Monte Vista High School,Spring Valley,san diego
1122,Mount Miguel High School,Spring Valley,san diego
1123,Santana High School,Santee,san diego
1124,Steele Canyon High School,Spring Valley,san diego
1125,Valhalla High School,El Cajon,san diego
1126,West Hills High School,Santee,san diego
1127,Julian High School,Julian,san diego
1128,Redding  High (continuation),Julian,san diego
1129,Summit High Community Day,Julian,san diego
1130,Mountain Empire High School,Pine Valley,san diego
1131,Diego Valley Charter High School,Oceanside,san diego
1132,El Camino High School,Oceanside,san diego
1133,Oceanside High School,Oceanside,san diego
1134,Oceanside School of Business and Technology,Oceanside,san diego
1135,Pacific View Charter School,Oceanside,san diego
1136,Abraxas High School,Poway,san diego
1137,Del Norte High School,San Diego,san diego
1138,Mount Carmel High School,San Diego,san diego
1139,Poway High School,Poway,san diego
1140,Rancho Bernardo High School,San Diego,san diego
1141,Westview High School,San Diego,san diego
1142,Montecito High School,Ramona,san diego
1143,Mountain Valley Academy High School,Ramona,san diego
1144,Ramona High School,Ramona,san diego
1145,Monarch School,San Diego,san diego
1146,Canyon Crest Academy,San Diego,san diego
1147,La Costa Canyon High School,Carlsbad,san diego
1148,North Coast High School,Encinitas,san diego
1149,San Dieguito Academy,Encinitas,san diego
1150,Sunset High School,Encinitas,san diego
1151,Torrey Pines High School,San Diego,san diego
1152,Bayshore Prep Charter School,San Marcos,san diego
1153,Foothills High,San Marcos,san diego
1154,Mission Hills High School,San Marcos,san diego
1155,San Marcos High School,San Marcos,san diego
1156,Twin Oaks High School,San Marcos,san diego
1157,Bonita Vista High School,Chula Vista,san diego
1158,Castle Park High School,Chula Vista,san diego
1159,Chula Vista High School,Chula Vista,san diego
1160,Eastlake High School,Chula Vista,san diego
1161,Hilltop High School,Chula Vista,san diego
1162,MAAC Community Charter School,Chula Vista,san diego
1163,Mar Vista High School,Imperial Beach,san diego
1164,Montgomery High School,San Diego,san diego
1165,Olympian High School,Chula Vista,san diego
1166,Options Secondary School,Chula Vista,san diego
1167,Otay Ranch High School,Chula Vista,san diego
1168,Palomar High School,Chula Vista,san diego
1169,San Ysidro High School,San Diego,san diego
1170,Southwest High School,San Diego,san diego
1171,Sweetwater High School,National City,san diego
1172,Oak Glen High School,Valley Center,san diego
1173,Valley Center Adult Education,Valley Center,san diego
1174,Valley Center High School,Valley Center,san diego
1175,Valley Center Independent Study,Valley Center,san diego
1176,Diego Valley Charter High School,Vista,san diego
1177,Guajome Park Academy,Vista,san diego
1178,Mission Vista High School,Oceanside,san diego
1179,North County Trade Tech High School,Vista,san diego
1180,Rancho Buena Vista High School,Vista,san diego
1181,Vista High School,Vista,san diego
1182,San Jose Valley Continuation High School,Warner Springs,san diego
1183,Warner Middle / High School,Warner Springs,san diego
1184,Ocean View Christian Academy,San Diego,san diego
1185,Academy of Our Lady of Peace,San Diego,san diego
1186,Saint Augustine High School,San Diego,san diego
1187,Mater Dei Catholic High School,San Diego,san diego
1188,Cathedral Catholic High School,San Diego,san diego
1189,The Bishop's School,La Jolla,san diego
1190,San Diego Jewish Academy,San Diego,san diego
1191,Southern California Yeshiva High School,San Diego,san diego
1192,Torah High Schools of San Diego,San Diego,san diego
1193,Victory Christian Academy,San Diego,san diego
1194,Escondido Adventist Academy,Escondido,san diego
1195,San Diego Academy,National City,san diego
1196,Army and Navy Academy,Carlsbad,san diego
1197,Maranatha Christian Schools,San Diego,san diego
1198,Calvin Christian School,Escondido,san diego
1199,Santa Fe Christian Schools,Solana Beach,san diego
1200,Horizon Christian Academy,San Diego,san diego
1201,Horizon Prep School,Rancho Santa Fe,san diego
1202,The Child's Primary School,San Diego,san diego
1203,Carlsbad Seaside Academy,Carlsbad,san diego
1204,Carlsbad Village Academy,Carlsbad,san diego
1205,Francis W. Parker School,San Diego,san diego
1206,Fusion Academy,Del Mar,san diego
1207,The Grauer School,Encinitas,san diego
1208,Halstrom High School,Oceanside,san diego
1209,Halstrom High School,San Diego,san diego
1210,La Jolla Country Day School,La Jolla,san diego
1211,Pacific Academy International,Encinitas,san diego
1212,Pacific Ridge School,Carlsbad,san diego
1213,San Diego French American School,La Jolla,san diego
1214,The Waldorf School of San Diego High School,San Diego,san diego
1215,Leeway Sudbury School,San Diego,san diego
1216,High Bluff Academy,San Diego,san diego
1217,Abraham Lincoln High School,San Francisco,san francisco
1218,Academy of Arts & Sciences,San Francisco,san francisco
1219,Balboa High School,San Francisco,san francisco
1220,Downtown High School,San Francisco,san francisco
1221,Galileo Academy of Science and Technology,San Francisco,san francisco
1222,George Washington High School,San Francisco,san francisco
1223,Ida B. Wells Continuation High School,San Francisco,san francisco
1224,Independence High School,San Francisco,san francisco
1225,International Studies Academy,San Francisco,san francisco
1226,John A. O'Connell High School,San Francisco,san francisco
1227,June Jordan School for Equity,San Francisco,san francisco
1228,Lowell High School,San Francisco,san francisco
1229,Mission High School,San Francisco,san francisco
1230,Phillip & Sala Burton High School,San Francisco,san francisco
1231,Raoul Wallenberg Traditional High School,San Francisco,san francisco
1232,San Francisco Flex Academy,San Francisco,san francisco
1233,San Francisco International High School,San Francisco,san francisco
1234,School of the Arts,San Francisco,san francisco
1235,Thurgood Marshall Academic High School,San Francisco,san francisco
1236,City Arts & Technology,San Francisco,san francisco
1237,Gateway High School,San Francisco,san francisco
1238,KIPP San Francisco College Preparatory,San Francisco,san francisco
1239,Leadership High School,San Francisco,san francisco
1240,The Bay School of San Francisco,San Francisco,san francisco
1241,Cornerstone Academy,San Francisco,san francisco
1242,Drew School,San Francisco,san francisco
1243,Fusion Academy,San Francisco,san francisco
1244,Hillwood Academic Day School,San Francisco,san francisco
1245,International High School of San Francisco,San Francisco,san francisco
1246,Jewish Community High School of the Bay,San Francisco,san francisco
1247,Lick-Wilmerding High School,San Francisco,san francisco
1248,Lycée Français La Pérouse,San Francisco,san francisco
1249,Proof School,San Francisco,san francisco
1250,Saint John of San Francisco Orthodox Academy,San Francisco,san francisco
1251,San Francisco Christian,San Francisco,san francisco
1252,San Francisco University High School,San Francisco,san francisco
1253,San Francisco Waldorf High School,San Francisco,san francisco
1254,The Urban School of San Francisco,San Francisco,san francisco
1255,Woodside International School,San Francisco,san francisco
1256,Youth Chance High School,San Francisco,san francisco
1257,Archbishop Riordan High School,San Francisco,san francisco
1258,Convent of the Sacred Heart High School,San Francisco,san francisco
1259,Immaculate Conception Academy,San Francisco,san francisco
1260,Mercy High School,San Francisco,san francisco
1261,Sacred Heart Cathedral Preparatory,San Francisco,san francisco
1262,St. Ignatius College Preparatory,San Francisco,san francisco
1263,Stuart Hall High School,San Francisco,san francisco
