,School,City,County
154,Ambassador Phillip V. Sanchez Public Charter,Fresno,fresno
155,Ambassador Phillip V. Sanchez Public Charter,Fresno,fresno
156,Ambassador Phillip V. Sanchez Public Charter,Mendota,fresno
157,Ambassador Phillip V. Sanchez Public Charter,Parlier,fresno
158,Carter G. Woodson Public Charter School,Fresno,fresno
159,Caruthers High School,Caruthers,fresno
160,Central High School,Fresno,fresno
161,Charter Academy of Ambassador Phillip V. Sanchez,Fresno,fresno
162,Coalinga High School,Coalinga,fresno
163,Crescent View South Public Charter,Clovis,fresno
164,Crescent View South Public Charter,Fresno,fresno
165,Crescent View West Public Charter,Fresno,fresno
166,Dewolf West High School,Fresno,fresno
167,Firebaugh High School,Firebaugh,fresno
168,Fowler High School,Fowler,fresno
169,Fresno Prep Academy,Fresno,fresno
170,Immanuel High School,Reedley,fresno
171,Kerman High School,Kerman,fresno
172,Kingsburg High School,Kingsburg,fresno
173,Laton High School,Laton,fresno
174,Mendota High School,Mendota,fresno
175,New Millennium Charter School,Fresno,fresno
176,Parlier High School,Parlier,fresno
177,Reedley High School,Reedley,fresno
178,Riverdale High School,Riverdale,fresno
179,San Joaquin Memorial High School,Fresno,fresno
180,Sanger High School,Sanger,fresno
181,School of Unlimited Learning,Fresno,fresno
182,Selma High School,Selma,fresno
183,Sierra High School,Tollhouse,fresno
184,Tranquillity High School,Tranquility,fresno
185,University High School,Fresno,fresno
186,Washington Union High School,Fresno,fresno
187,Elk Creek Junior-Senior High School,Elk Creek,glenn
188,Hamilton Union High School,Hamilton City,glenn
189,Orland High School,Orland,glenn
190,Princeton Junior-Senior High School,Princeton,glenn
191,Willows High School,Willows,glenn
192,Academy of the Redwoods Early college high school,Fortuna,humboldt
193,Arcata High School,Arcata,humboldt
194,Eureka High School,Eureka,humboldt
195,Ferndale High School,Ferndale,humboldt
196,Fortuna Union High School,Fortuna,humboldt
197,Hoopa Valley High School,Hoopa,humboldt
198,Humboldt Bay High School,Eureka,humboldt
199,Mattole Triple Junction High School,Petrolia,humboldt
200,McKinleyville High School,McKinleyville,humboldt
201,St. Bernard's High School,Eureka,humboldt
202,South Fork High School,Miranda,humboldt
203,Brawley  North County High School,Brawley,imperial
204,Brawley Union High School,Brawley,imperial
205,Calexico High School,Calexico,imperial
206,Calipatria High School,Calipatria,imperial
207,Central Union High School,El Centro,imperial
208,De Anza High School,Calexico,imperial
209,Desert Valley High School,Brawley,imperial
210,Holtville High School,Holtville,imperial
211,Imperial High School,Imperial,imperial
212,San Pasqual Valley High School,Winterhaven,imperial
213,Southwest High School,El Centro,imperial
214,Vincent Memorial High School,Calexico,imperial
215,West Shores High School,Salton City,imperial
216,Big Pine High School,Big Pine,inyo
217,Bishop High School,Bishop,inyo
218,Death Valley Academy,Shoshone,inyo
219,Lone Pine High School,Lone Pine,inyo
220,Owens Valley High School,Independence,inyo
221,Arvin High School,Arvin,kern
222,Bakersfield Christian High School,Bakersfield,kern
223,Bakersfield High School,Bakersfield,kern
224,Boron Junior-Senior High School,Boron,kern
225,Burroughs High School,Ridgecrest,kern
226,Centennial High School,Bakersfield,kern
227,Central Valley High School,Bakersfield,kern
228,Cesar E. Chavez High School,Delano,kern
229,Delano High School,Delano,kern
230,Desert Junior/Senior High School,Edwards,kern
231,East Bakersfield High School,Bakersfield,kern
232,Foothill High School,Bakersfield,kern
233,Frazier Mountain High School,Lebec,kern
234,Frontier High School,Bakersfield,kern
235,Garces Memorial High School,Bakersfield,kern
236,Golden Valley High School,Bakersfield,kern
237,Highland High School,Bakersfield,kern
238,Independence High School,Bakersfield,kern
239,Kern Valley High School,Lake Isabella,kern
240,Liberty High School,Bakersfield,kern
241,Maricopa High School,Maricopa,kern
242,McFarland High School,McFarland,kern
243,Mira Monte High School,Bakersfield,kern
244,Mojave High School 1954,Mojave,kern
245,North High School,Kern,kern
246,Ridgeview High School,Bakersfield,kern
247,Robert F. Kennedy High School,Delano,kern
248,Rosamond High School,Rosamond,kern
249,Shafter High School,Shafter,kern
250,South High School,Bakersfield,kern
251,Stockdale High School,Bakersfield,kern
252,Taft Union High School,Taft,kern
253,Tehachapi High School,Tehachapi,kern
254,Wasco High School,Wasco,kern
255,West High School,Bakersfield,kern
256,Avenal High School,Avenal,kings
257,Corcoran High School,Corcoran,kings
258,Crescent Valley Public Charter,Hanford,kings
259,Hanford High School,Hanford,kings
260,Hanford West High School,Hanford,kings
261,Earl F. Johnson Continuation School,Hanford,kings
262,Kings Community School,Hanford,kings
263,Lemoore High School,Lemoore,kings
264,Sierra Pacific High School,Hanford,kings
265,Armona Union Academy,Armona,kings
266,Clear Lake High School,Lakeport,lake
267,Intermountain High School,Cobb,lake
268,Kelseyville High School,Kelseyville,lake
269,Lower Lake High School,Lower Lake,lake
270,Middletown High School,Middletown,lake
271,Upper Lake High School,Upper Lake,lake
272,Big Valley High School,Bieber,lassen
273,Herlong High School,Herlong,lassen
274,Lassen High School,Susanville,lassen
275,Westwood High School,Westwood,lassen
276,Bishop Alemany High School,Mission Hills,los angeles
277,Bishop Conaty-Our Lady of Loretto High School,Harvard Heights,los angeles
278,Bishop Mora Salesian High School,Boyle Heights,los angeles
279,Cathedral High School,Elysian Park,los angeles
280,Chaminade College Preparatory School,West Hills,los angeles
281,Crespi Carmelite High School,Encino,los angeles
282,Louisville High School,Woodland Hills,los angeles
283,Loyola High School,Harvard Heights,los angeles
284,Immaculate Heart High School,Los Feliz,los angeles
285,Mary Star of the Sea High School,San Pedro,los angeles
286,Marymount High School,Bel-Air,los angeles
287,Notre Dame Academy,Rancho Park,los angeles
288,Notre Dame High School Sherman Oaks,Los Angeles,los angeles
289,Providence High School,Burbank,los angeles
290,Sacred Heart High School,Lincoln Heights,los angeles
291,St. Bernard High School,Playa del Rey,los angeles
292,St. Genevieve High School,Panorama City,los angeles
293,YeeYee International School,Los Angeles,los angeles
294,Alverno High School,Sierra Madre,los angeles
295,Assurance Learning Academy,Harbor City,los angeles
296,Bellarmine-Jefferson High School,Burbank,los angeles
297,Bishop Amat Memorial High School,La Puente,los angeles
298,Bishop Montgomery High School,Torrance,los angeles
299,Cantwell-Sacred Heart of Mary High School,Montebello,los angeles
300,Damien High School,La Verne,los angeles
301,Don Bosco Technical Institute,Rosemead,los angeles
302,Flintridge Sacred Heart Academy,La Cañada Flintridge,los angeles
303,Holy Family High School,Glendale,los angeles
304,Junípero Serra High School,Gardena,los angeles
305,La Salle High School,Pasadena,los angeles
306,Mayfield Senior School of the Holy Child Jesus,Pasadena,los angeles
307,Paraclete High School,Lancaster,los angeles
308,Pomona Catholic High School,Pomona,los angeles
309,Providence High School,Burbank,los angeles
310,Ramona Convent Secondary School,Alhambra,los angeles
311,St. Anthony High School,Long Beach,los angeles
312,St. Francis High School,La Cañada Flintridge,los angeles
313,St. John Bosco High School,Bellflower,los angeles
314,St. Joseph High School,Lakewood,los angeles
315,St. Lucy's Priory High School,Glendora,los angeles
316,St. Mary's Academy,Inglewood,los angeles
317,St. Monica Academy,Pasadena,los angeles
318,St. Monica High School,Santa Monica,los angeles
319,St. Paul High School,Santa Fe Springs,los angeles
320,St. Pius X - St. Matthias Academy,Downey,los angeles
321,San Gabriel Mission High School,San Gabriel,los angeles
322,Bethel Christian High School,Lancaster,los angeles
323,Campbell Hall School,North Hollywood,los angeles
324,Desert Christian High School,Lancaster,los angeles
