Cohort,Cohort Total Count,College,Geographic Area,Federal Ethnicity,N,% of Col1,% of Pop
First-Time Freshmen Fall 2018,4378,College of Engineering,Sacramento Area,Multi,4,4,4
First-Time Freshmen Fall 2018,4378,College of Engineering,Sacramento Area,Non-Resident,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,Sacramento Area,White,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,San Diego,Multi,1,1,1
First-Time Freshmen Fall 2018,4378,College of Engineering,San Diego,White,8,8,8
First-Time Freshmen Fall 2018,4378,College of Engineering,San Francisco Bay Area,Asian,28,28,28
First-Time Freshmen Fall 2018,4378,College of Engineering,San Francisco Bay Area,Multi,3,3,3
First-Time Freshmen Fall 2018,4378,College of Engineering,San Francisco Bay Area,Non-Resident,2,2,2
First-Time Freshmen Fall 2018,4378,College of Engineering,San Francisco Bay Area,Unknown,3,3,3
First-Time Freshmen Fall 2018,4378,College of Engineering,San Francisco Bay Area,White,20,20,20
First-Time Freshmen Fall 2018,4378,College of Engineering,San Joaquin,Asian,6,6,6
First-Time Freshmen Fall 2018,4378,College of Engineering,San Joaquin,Hispanic Latino,5,5,5
First-Time Freshmen Fall 2018,4378,College of Engineering,San Joaquin,White,4,4,4
First-Time Freshmen Fall 2019,4599,College of Engineering,Central Coast,Asian,4,4,4
First-Time Freshmen Fall 2019,4599,College of Engineering,Central Coast,Hispanic Latino,5,5,5
First-Time Freshmen Fall 2019,4599,College of Engineering,Central Coast,Multi,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Central Coast,Native American,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Central Coast,White,6,6,6
First-Time Freshmen Fall 2019,4599,College of Engineering,Foreign Countries,Asian,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Foreign Countries,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Foreign Countries,Non-Resident,10,10,10
First-Time Freshmen Fall 2019,4599,College of Engineering,Los Angeles,Asian,24,24,24
First-Time Freshmen Fall 2019,4599,College of Engineering,Los Angeles,Hispanic Latino,5,5,5
First-Time Freshmen Fall 2019,4599,College of Engineering,Los Angeles,Multi,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Los Angeles,Unknown,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Los Angeles,White,9,9,9
First-Time Freshmen Fall 2019,4599,College of Engineering,Other CA Counties,Asian,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Other CA Counties,Hispanic Latino,1,1,1
First-Time Freshmen Fall 2019,4599,College of Engineering,Other CA Counties,White,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,Asian,18,18,18
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,Hispanic Latino,4,4,4
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,Multi,8,8,8
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,Non-Resident,2,2,2
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,Unknown,3,3,3
First-Time Freshmen Fall 2019,4599,College of Engineering,Other US States,White,54,54,54
