,School,City,County
97,Mount Diablo High School,Concord,Contra Costa County
98,Northgate High School,Walnut Creek,Contra Costa County
99,Ygnacio Valley High School,Concord,Contra Costa County
100,De Anza High School,Richmond,Contra Costa County
101,El Cerrito High School,El Cerrito,Contra Costa County
102,Hercules High School,Hercules,Contra Costa County
103,Kennedy High School,Richmond,Contra Costa County
104,Middle College High School,San Pablo,Contra Costa County
105,Pinole Valley High School,Pinole,Contra Costa County
106,Richmond High School,Richmond,Contra Costa County
107,Alhambra High School,Martinez,Contra Costa County
108,The Athenian School,Danville,Contra Costa County
109,Bentley School,Lafayette,Contra Costa County
110,Berean Christian High School,Walnut Creek,Contra Costa County
111,California High School,San Ramon,Contra Costa County
112,Carondelet High School,Concord,Contra Costa County
113,Christ the King Catholic School,Pleasant Hill,Contra Costa County
114,De La Salle High School,Concord,Contra Costa County
115,Delta Christian Junior/Senior High School,Antioch,Contra Costa County
116,Dougherty Valley High School,San Ramon,Contra Costa County
117,El Sobrante Christian School,El Sobrante,Contra Costa County
118,Freedom High School,Oakley,Contra Costa County
119,Heritage High School,Brentwood,Contra Costa County
120,Holden High School,Orinda,Contra Costa County
121,Independence High School,Brentwood,Contra Costa County
122,Liberty High School,Brentwood,Contra Costa County
123,Monte Vista High School,Danville,Contra Costa County
124,Orinda Academy,Orinda,Contra Costa County
125,Pittsburg High School,Pittsburg,Contra Costa County
126,Pleasant Hill Adventist Academy,Pleasant Hill,Contra Costa County
127,Salesian College Preparatory,Richmond,Contra Costa County
128,San Ramon Valley High School,Danville,Contra Costa County
129,Del Norte High School,Crescent City,Del Norte County
130,El Dorado Adventist School,Placerville,El Dorado County
131,El Dorado High School,Placerville,El Dorado County
132,Golden Sierra High School,Garden Valley,El Dorado County
133,Muir Charter School,Placerville,El Dorado County
134,Oak Ridge High School,El Dorado Hills,El Dorado County
135,Ponderosa High School,Shingle Springs,El Dorado County
136,Shenandoah High School,El Dorado,El Dorado County
137,South Tahoe High School,South Lake Tahoe,El Dorado County
138,Union Mine High School,El Dorado,El Dorado County
139,Vista High School,Placerville,El Dorado County
140,Buchanan High School,Clovis,Fresno County
141,Clovis East High School,Clovis,Fresno County
142,Clovis High School,Clovis,Fresno County
143,Clovis North High School,Fresno,Fresno County
144,Clovis West High School,Fresno,Fresno County
145,Bullard High School,Fresno,Fresno County
146,The Center for Advanced Research and Technology,San Lorenzo,Fresno County
147,Erma Duncan Polytechnical High School,Fresno,Fresno County
148,Edison High School,Fresno,Fresno County
149,Fresno High School,Fresno,Fresno County
150,Herbert Hoover High School,Fresno,Fresno County
151,McLane High School,Fresno,Fresno County
152,Roosevelt High School,Fresno,Fresno County
153,Sunnyside High School,Fresno,Fresno County
154,Ambassador Phillip V. Sanchez Public Charter,Fresno (Sunnyside),Fresno County
155,Ambassador Phillip V. Sanchez Public Charter,Fresno (West Shaw),Fresno County
156,Ambassador Phillip V. Sanchez Public Charter,Mendota,Fresno County
157,Ambassador Phillip V. Sanchez Public Charter,Parlier,Fresno County
158,Carter G. Woodson Public Charter School,Fresno,Fresno County
