,School,City,County,Religion
46,San Lorenzo High School,Alameda,alameda,None
47,Bishop O'Dowd High School,Oakland,alameda,Christian
48,Holy Names High School,Oakland,alameda,Christian
49,Moreau Catholic High School,Hayward,alameda,Christian
50,St. Elizabeth High School,Oakland,alameda,Christian
51,St. Joseph Notre Dame High School,Alameda,alameda,Christian
52,St. Mary's College High School,Albany,alameda,Christian
53,Alameda Community Learning Center,Alameda,alameda,Christian
54,Averroes High School,Fremont,alameda,Christian
55,Chinese Christian Schools,San Leandro,alameda,Christian
56,The College Preparatory School,Oakland,alameda,Christian
57,Emery High School,Emeryville,alameda,Christian
58,Head-Royce School,Oakland,alameda,Christian
59,Maybeck High School,Berkeley,alameda,Christian
60,The Quarry Lane School,Dublin,alameda,Christian
61,Valley Christian School,Dublin,alameda,Christian
62,Bear Valley High School,Bear Valley,alpine,Christian
63,Woodfords High School,Markleeville,alpine,Christian
64,Amador High School,Sutter Creek,amador,Christian
65,Argonaut High School,Jackson,amador,Christian
66,Biggs High School,Biggs,butte,Christian
67,Chico High School,Chico,butte,Christian
68,Couture High School,Oroville,butte,Christian
69,Durham High School,Durham,butte,Christian
70,Gridley High School,Gridley,butte,Christian
71,Las Plumas High School,Oroville,butte,Christian
72,Oroville High School,Oroville,butte,Christian
73,Paradise High School,Paradise,butte,Christian
74,Pleasant Valley High School,Chico,butte,Christian
75,Arnold High School,Arnold,calaveras,Christian
76,Bret Harte Union High School,Angels Camp,calaveras,Christian
77,Calaveras High School,San Andreas,calaveras,Christian
78,Copper Cove High School,Copperopolis,calaveras,Christian
79,Colusa High School,Colusa,colusa,Christian
80,Maxwell High School,Maxwell,colusa,Christian
81,Pierce High School,Sudhir,colusa,Christian
82,Williams High School,Williams,colusa,Christian
83,Acalanes High School,Lafayette,contra costa,Christian
84,Campolindo High School,Moraga,contra costa,Christian
85,Las Lomas High School,Walnut Creek,contra costa,Christian
86,Miramonte High School,Orinda,contra costa,Christian
87,Antioch High School,Antioch,contra costa,Christian
88,Deer Valley High School,Antioch,contra costa,Christian
89,Dozier-Libbey Medical High School,Antioch,contra costa,Christian
90,John Swett High School,Crockett,contra costa,Christian
91,Willow High School,Crockett,contra costa,Christian
92,Clayton Valley High School,Concord,contra costa,Christian
93,College Park High School,Pleasant Hill,contra costa,Christian
94,Concord High School,Concord,contra costa,Christian
95,Mount Diablo High School,Concord,contra costa,Christian
96,Northgate High School,Walnut Creek,contra costa,Christian
97,Ygnacio Valley High School,Concord,contra costa,Christian
98,De Anza High School,Richmond,contra costa,Christian
99,El Cerrito High School,El Cerrito,contra costa,Christian
100,Hercules High School,Hercules,contra costa,Christian
101,Kennedy High School,Richmond,contra costa,Christian
102,Middle College High School,San Pablo,contra costa,Christian
103,Pinole Valley High School,Pinole,contra costa,Christian
104,Richmond High School,Richmond,contra costa,Christian
105,Alhambra High School,Martinez,contra costa,Christian
106,The Athenian School,Danville,contra costa,Christian
107,Bentley School,Lafayette,contra costa,Christian
108,Berean Christian High School,Walnut Creek,contra costa,Christian
109,California High School,San Ramon,contra costa,Christian
110,Carondelet High School,Concord,contra costa,Christian
111,Christ the King Catholic School,Pleasant Hill,contra costa,Christian
112,De La Salle High School,Concord,contra costa,Christian
113,Delta Christian Junior/Senior High School,Antioch,contra costa,Christian
114,Dougherty Valley High School,San Ramon,contra costa,Christian
115,El Sobrante Christian School,El Sobrante,contra costa,Christian
116,Freedom High School,Oakley,contra costa,Christian
117,Heritage High School,Brentwood,contra costa,Christian
118,Holden High School,Orinda,contra costa,Christian
119,Independence High School,Brentwood,contra costa,Christian
120,Liberty High School,Brentwood,contra costa,Christian
121,Monte Vista High School,Danville,contra costa,Christian
122,Orinda Academy,Orinda,contra costa,Christian
123,Pittsburg High School,Pittsburg,contra costa,Christian
124,Pleasant Hill Adventist Academy,Pleasant Hill,contra costa,Christian
125,Salesian College Preparatory,Richmond,contra costa,Christian
126,San Ramon Valley High School,Danville,contra costa,Christian
127,Del Norte High School,Crescent City,del norte,Christian
128,El Dorado Adventist School,Placerville,el dorado,Christian
129,El Dorado High School,Placerville,el dorado,Christian
130,Golden Sierra High School,Garden Valley,el dorado,Christian
131,Muir Charter School,Placerville,el dorado,Christian
132,Oak Ridge High School,El Dorado Hills,el dorado,Christian
133,Ponderosa High School,Shingle Springs,el dorado,Christian
134,Shenandoah High School,El Dorado,el dorado,Christian
