,School,City,County,Religion
553,Edgewood High School,West Covina,los angeles,None
554,West Covina High School,West Covina,los angeles,None
555,California High School,Whittier,los angeles,None
556,La Serna High School,Whittier,los angeles,None
557,Pioneer High School,Whittier,los angeles,None
558,Santa Fe High School,Santa Fe Springs,los angeles,None
559,Whittier High School,Whittier,los angeles,None
560,Academy of the Canyons,Santa Clarita,los angeles,None
561,Canyon High School,Canyon Country,los angeles,None
562,Golden Valley High School,Santa Clarita,los angeles,None
563,Saugus High School,Saugus,los angeles,None
564,Valencia High School,Valencia,los angeles,None
565,West Ranch High School,Stevenson Ranch,los angeles,None
566,William S. Hart High School,Newhall,los angeles,None
567,Assurance Learning Academy,Los Angeles,los angeles,None
568,Assurance Learning Academy,Wilmington,los angeles,None
569,Animo Inglewood Charter High School,Inglewood,los angeles,None
570,Animo Leadership Charter High School,Inglewood,los angeles,None
571,Animo Locke Technology High School,Los Angeles,los angeles,None
572,Booth High School,Los Angeles,los angeles,None
573,Carter-Walters Preparatory School of the Arts,San Dimas,los angeles,None
574,Crittenton High School,Los Angeles,los angeles,None
575,Da Vinci Schools,Hawthorne,los angeles,None
576,Desert Sands Charter High School,Garden Grove,los angeles,None
577,Desert Sands Charter High School,Long Beach,los angeles,None
578,Desert Sands Charter High School,Norwalk,los angeles,None
579,Desert Sands Charter High School,Santa Ana,los angeles,None
580,Desert Sands Charter School,Lancaster,los angeles,None
581,Environmental Charter High School,Lawndale,los angeles,None
582,Fred C. Nelles High School,Whittier,los angeles,None
583,International Polytechnic High School,Pomona,los angeles,None
584,Jack B. Clarke High School,Norwalk,los angeles,None
585,Los Angeles Complex Science Academy,Los Angeles,los angeles,None
586,Los Angeles County High School for the Arts,Los Angeles,los angeles,None
587,Mission View Public Charter,Gardena,los angeles,None
588,Mission View Public Charter,Inglewood,los angeles,None
589,Mission View Public Charter,Los Angeles,los angeles,None
590,Mission View Public Charter,North Hills,los angeles,None
591,Mission View Public Charter,Pacoima,los angeles,None
592,Mission View Public Charter,Panorama City,los angeles,None
593,Mission View Public Charter,San Fernando,los angeles,None
594,Mission View Public Charter,Valencia,los angeles,None
595,Montclair College Preparatory School,Van Nuys,los angeles,None
596,Pacific Learning Center Charter,Long Beach,los angeles,None
597,Paramount High School Academy,Lakewood,los angeles,None
598,Pathway High School,Lynwood,los angeles,None
599,Promise Academy,Long Beach,los angeles,None
600,Soledad Enrichment Action Charter School,Los Angeles,los angeles,None
601,Chowchilla High School,Chowchilla,madera,None
602,Evergreen High School,Oakhurst,madera,None
603,Glacier Charter High School,Oakhurst,madera,None
604,Madera High School,Madera,madera,None
605,Madera South High School,Madera,madera,None
606,Minarets High School,O'Neals,madera,None
607,Mountain Oaks High School,North Fork,madera,None
608,Pioneer Technical Center,Madera,madera,None
609,Yosemite High School,Oakhurst,madera,None
610,The Branson School,Ross,marin,None
611,Marin Academy,San Rafael,marin,None
612,Marin Catholic High School,Kentfield,marin,None
613,Marin Oaks High School,Novato,marin,None
614,North Bay Christian Academy,Novato,marin,None
615,Novato High School,Novato,marin,None
616,Redwood High School,Larkspur,marin,None
617,San Domenico School,San Anselmo,marin,None
618,San Marin High School,Novato,marin,None
619,San Rafael High School,San Rafael,marin,None
620,Sir Francis Drake High School,San Anselmo,marin,None
621,Tamalpais High School,Mill Valley,marin,None
622,Terra Linda High School,San Rafael,marin,None
623,Tomales High School,Tomales,marin,None
624,Coulterville High School,Coulterville,mariposa,None
625,Mariposa County High School,Mariposa,mariposa,None
626,Yosemite Park High School,Yosemite,mariposa,None
627,Anderson Valley Junior-Senior High School,Boonville,mendocino,None
628,Developing Virtue Secondary School,Ukiah,mendocino,None
629,Fort Bragg High School,Fort Bragg,mendocino,None
630,Laytonville High School,Laytonville,mendocino,None
631,Leggett Valley High School,Leggett,mendocino,None
632,Mendocino High School,Mendocino,mendocino,None
633,Pacific Community Charter High School,Point Arena,mendocino,None
634,Point Arena High School,Point Arena,mendocino,None
635,Potter Valley High School,Potter Valley,mendocino,None
636,Redwood Academy of Ukiah,Ukiah,mendocino,None
637,Round Valley High School,Covelo,mendocino,None
638,South Coast High School,Point Arena,mendocino,None
639,Ukiah High School,Ukiah,mendocino,None
640,Whale Gulch High School,Whitethorn,mendocino,None
641,Willits Charter School,Willits,mendocino,None
642,Willits High School,Willits,mendocino,None
643,Yokayo Valley Charter High School,Ukiah,mendocino,None
644,Atwater High School,Atwater,merced,None
645,Buhach Colony High School,Atwater,merced,None
646,Delhi High School,Delhi,merced,None
647,Dos Palos High School,Dos Palos,merced,None
648,Golden Valley High School,Merced,merced,None
649,Gustine High School,Gustine,merced,None
650,Hilmar High School,Hilmar,merced,None
651,Le Grand High School,Le Grand,merced,None
652,Livingston High School,Livingston,merced,None
653,Los Banos High School,Los Banos,merced,None
654,Merced High School,Merced,merced,None
655,Pacheco High School,Los Banos,merced,None
656,Stone Ridge Christian High School,Merced,merced,None
657,Valley High School,Atwater,merced,None
658,Valley High School,Los Banos,merced,None
659,Valley High School,Merced,merced,None
660,Great Basin High School,Cedarville,modoc,None
661,Modoc High School,Alturas,modoc,None
662,Surprise Valley High School,Cedarville,modoc,None
663,Warner High School,Alturas,modoc,None
664,Coleville High School,Coleville,mono,None
665,Eastern Sierra Academy,Bridgeport,mono,None
666,Lee Vining High School,Lee Vining,mono,None
667,Mammoth High School,Mammoth Lakes,mono,None
668,Greenfield High School,Greenfield,monterey,None
669,King City High School,King City,monterey,None
670,Central Coast High School,Seaside,monterey,None
671,Marina High School,Marina,monterey,None
672,Monterey High School,Monterey,monterey,None
673,Seaside High School,Seaside,monterey,None
674,North Monterey County High School,Castroville,monterey,None
675,Pacific Grove High School,Pacific Grove,monterey,None
676,Alisal High School,Salinas,monterey,None
677,Everett Alvarez High School,Salinas,monterey,None
678,North Salinas High School,Salinas,monterey,None
679,Salinas High School,Salinas,monterey,None
680,Carmel High School,Carmel,monterey,None
681,Cypress Grove Charter High School for Arts and Science,Carmel,monterey,None
682,Gonzales High School,Gonzales,monterey,None
683,Notre Dame High School,Salinas,monterey,None
684,Palma School,Salinas,monterey,None
685,Santa Catalina School,Monterey,monterey,None
686,Soledad High School,Soledad,monterey,None
687,Stevenson School,Pebble Beach,monterey,None
688,Trinity Christian High School,Monterey,monterey,None
689,York School,Monterey,monterey,None
690,American Canyon High School,American Canyon,napa,None
691,Calistoga High School,Calistoga,napa,None
692,Justin-Siena High School,Napa,napa,None
693,Napa High School,Napa,napa,None
694,New Technology High School,Napa,napa,None
695,Pacific Union College Prep School,Angwin,napa,None
696,St. Helena High School,St. Helena,napa,None
697,Valley Oak High School,Napa,napa,None
698,Vintage High School,Napa,napa,None
699,Bear River High School,Grass Valley,nevada,None
700,Bitney College Preparatory High School,Grass Valley,nevada,None
701,Ghidotti Early College High School,Grass Valley,nevada,None
702,Nevada Union High School,Grass Valley,nevada,None
703,Sierra Mountain High School,Grass Valley,nevada,None
704,Tahoe-Truckee High School,Truckee,nevada,None
705,Anaheim High School,Anaheim,orange,None
706,Katella High School,Anaheim,orange,None
707,John F. Kennedy High School,La Palma,orange,None
708,Loara High School,Anaheim,orange,None
709,Cypress High School,Cypress,orange,None
710,Oxford Academy,Cypress,orange,None
711,Magnolia High School,Anaheim,orange,None
712,Savanna High School,Anaheim,orange,None
713,Western High School,Anaheim,orange,None
714,Brea Canyon Alternative High School,Brea,orange,None
715,Brea Olinda High School,Brea,orange,None
716,Aliso Niguel High School,Aliso Viejo,orange,None
717,Capistrano Valley High School,Mission Viejo,orange,None
718,Dana Hills High School,Dana Point,orange,None
719,San Juan Hills High School,San Juan Capistrano,orange,None
720,San Clemente High School,San Clemente,orange,None
721,Tesoro High School,Rancho Santa Margarita,orange,None
722,Fred Newhart Middle School,Mission Viejo,orange,None
723,Fullerton Union High School,Fullerton,orange,None
724,La Vista High School,Fullerton,orange,None
725,Sunny Hills High School,Fullerton,orange,None
726,Troy High School,Fullerton,orange,None
727,Buena Park High School,Buena Park,orange,None
728,La Habra High School,La Habra,orange,None
729,Sonora High School,La Habra,orange,None
730,Garden Grove High School,Garden Grove,orange,None
731,Pacifica High School,Garden Grove,orange,None
732,Rancho Alamitos High School,Garden Grove,orange,None
733,Santiago High School,Garden Grove,orange,None
734,Bolsa Grande High School,Garden Grove,orange,None
735,La Quinta High School,Westminster,orange,None
736,Los Amigos High School,Fountain Valley,orange,None
737,Edison High School,Huntington Beach,orange,None
738,Huntington Beach High School,Huntington Beach,orange,None
739,Marina High School,Huntington Beach,orange,None
740,Ocean View High School,Huntington Beach,orange,None
741,Westminster High School,Westminster,orange,None
742,Fountain Valley High School,Fountain Valley,orange,None
743,Irvine High School,Irvine,orange,None
744,Northwood High School,Irvine,orange,None
745,Portola High School,Irvine,orange,None
746,University High School,Irvine,orange,None
747,Woodbridge High School,Irvine,orange,None
748,Laguna Beach High School,Laguna Beach,orange,None
749,Los Alamitos High School,Los Alamitos,orange,None
750,Corona del Mar High School,Newport Beach,orange,None
751,Costa Mesa High School,Costa Mesa,orange,None
752,Estancia High School,Costa Mesa,orange,None
753,Early College High School,Costa Mesa,orange,None
754,Newport Harbor High School,Newport Beach,orange,None
755,El Modena High School,Orange,orange,None
756,Orange High School,Orange,orange,None
757,Villa Park High School,Villa Park,orange,None
758,Richland Continuation High School,Orange,orange,None
759,Canyon High School,Anaheim,orange,None
760,El Camino High School,Placentia,orange,None
761,El Dorado High School,Placentia,orange,None
762,Valencia High School,Placentia,orange,None
763,Esperanza High School,Anaheim,orange,None
764,Yorba Linda High School,Yorba Linda,orange,None
765,El Toro High School,Lake Forest,orange,None
766,Laguna Hills High School,Laguna Hills,orange,None
767,Mission Viejo High School,Mission Viejo,orange,None
768,Silverado High School,Mission Viejo,orange,None
769,Trabuco Hills High School,Mission Viejo,orange,None
770,Albor Charter School,Santa Ana,orange,None
771,Century High School,Santa Ana,orange,None
772,Cesar Chavez High School,Santa Ana,orange,None
773,Godinez Fundamental High School,Santa Ana,orange,None
774,Lorin Griset Academy,Santa Ana,orange,None
775,Middle College High School,Santa Ana,orange,None
776,Orange County High School of the Arts,Santa Ana,orange,None
777,Saddleback High School,Santa Ana,orange,None
778,Santa Ana High School,Santa Ana,orange,None
779,Segerstrom Fundamental High School,Santa Ana,orange,None
780,Valley High School,Santa Ana,orange,None
781,Arnold O. Beckman High School,Tustin,orange,None
782,Foothill High School,North Tustin,orange,None
783,Hillview High School,North Tustin,orange,None
784,Tustin High School,Tustin,orange,None
785,Bishop Amat Memorial High School,La Puente,orange,Christian
786,Mater Dei High School,Santa Ana,orange,Christian
787,Rosary High School,Fullerton,orange,Christian
788,Santa Margarita Catholic High School,Rancho Santa Margarita,orange,Christian
789,Cornelia Connelly High School,Anaheim,orange,Christian
790,Padre Pio Academy,Garden Grove,orange,Christian
791,JSerra Catholic High School,San Juan Capistrano,orange,Christian
792,St. Michael's Preparatory School,Silverado,orange,Christian
793,Servite High School,Anaheim,orange,Christian
794,Orangewood Academy,Orange,orange,Christian
795,Brethren Christian Junior/Senior High School,Huntington Beach,orange,Christian
796,Capistrano Valley Christian Schools,San Juan Capistrano,orange,Christian
797,Calvary Chapel High School,Santa Ana,orange,Christian
798,Crystal Cathedral High School,Garden Grove,orange,Christian
799,Saddleback Valley Christian School,San Juan Capistrano,orange,Christian
800,Spirit Christian Academy,Tustin,orange,Christian
801,Whittier Christian High School,La Habra,orange,Christian
802,Grace OC Academy,Anaheim,orange,Christian
803,St. Margaret's Episcopal School,Orange,orange,Christian
804,Crean Lutheran High School,Irvine,orange,Christian
805,Lutheran High School of Orange County,Orange,orange,Christian
806,Acaciawood Preparatory Academy,Anaheim,orange,Christian
807,Alton School,Cypress,orange,Christian
808,Eldorado-Emerson,Orange,orange,Christian
809,Fairmont Preparatory Academy,Anaheim,orange,Christian
810,Florence Crittenton School,Fullerton,orange,Christian
811,Fusion Academy & Learning Center,Huntington Beach,orange,Christian
812,Fusion Academy & Learning Center,Mission Viejo,orange,Christian
813,Halstrom High School,Mission Viejo,orange,Christian
814,Sage Hill School,Newport Beach,orange,Christian
815,Silverleaf Academy,Mission Viejo,orange,Christian
816,Desert Sands Charter High School,Anaheim,orange,Christian
817,Desert Sands Charter High School,Garden Grove,orange,Christian
818,Desert Sands Charter High School,Santa Ana,orange,Christian
819,Colfax High School,Colfax,placer,Christian
820,Del Oro High School,Loomis,placer,Christian
821,Forest Lake Christian High School,Auburn,placer,Christian
822,Foresthill High School,Foresthill,placer,Christian
823,Granite Bay High School,Granite Bay,placer,Christian
824,Horizon Charter School,Lincoln,placer,Christian
825,Lincoln High School,Lincoln,placer,Christian
826,North Tahoe High School,Tahoe City,placer,Christian
827,Oakmont High School,Roseville,placer,Christian
828,Pine Hills Adventist Academy,Auburn,placer,Christian
829,Placer High School,Auburn,placer,Christian
830,Rocklin High School,Rocklin,placer,Christian
831,Roseville High School,Roseville,placer,Christian
832,Sierra Christian High School,Rocklin,placer,Christian
833,Squaw Valley Academy,Squaw Valley,placer,Christian
834,Whitney High School,Rocklin,placer,Christian
835,Woodcreek High School,Roseville,placer,Christian
836,Western Sierra Collegiate Academy,Rocklin,placer,Christian
837,Chester High School,Chester,plumas,Christian
838,Greenville Junior-Senior High School,Greenville,plumas,Christian
839,Pine Hills Adventist School,Plumas,plumas,Christian
840,Portola High School,Portola,plumas,Christian
841,Quincy High School,Quincy,plumas,Christian
842,Amistad High School,Indio,riverside,Christian
843,Arlington High School,Riverside,riverside,Christian
844,Banning High School,Banning,riverside,Christian
845,Beaumont High School,Beaumont,riverside,Christian
846,California Lutheran High School,Wildomar,riverside,Christian
847,Calvary Chapel Christian School,Murrieta,riverside,Christian
848,Canyon Springs High School,Moreno Valley,riverside,Christian
849,Cathedral City High School,Cathedral City,riverside,Christian
850,Centennial High School,Corona,riverside,Christian
851,Chaparral High School,Temecula,riverside,Christian
852,Christian School of the Desert,Bermuda Dunes,riverside,Christian
853,Citrus Hill High School,Perris,riverside,Christian
854,Coachella Valley High School,Thermal,riverside,Christian
855,Corona High School,Corona,riverside,Christian
856,Desert Adventist Academy,Desert Hot Springs,riverside,Christian
857,Desert Chapel High School,Palm Springs,riverside,Christian
858,Desert Hot Springs High School,Desert Hot Springs,riverside,Christian
859,Desert Mirage High School,Thermal,riverside,Christian
860,Eagle Mountain  School,Desert Center,riverside,Christian
861,Eleanor Roosevelt High School Eastvale,Riverside,riverside,Christian
862,Elsinore High School,Wildomar,riverside,Christian
863,Grace Chapel of the Desert School,Indio,riverside,Christian
864,Great Oak High School,Temecula,riverside,Christian
865,Hamilton High School,Anza,riverside,Christian
866,Hemet Academy of Applied Academics and Technology,Hemet,riverside,Christian
867,Hemet High School,Hemet,riverside,Christian
868,Heritage High School,Menifee,riverside,Christian
869,Idyllwild Arts Academy,Idyllwild,riverside,Christian
870,Indio High School,Indio,riverside,Christian
871,John F. Kennedy Middle College High School,Norco,riverside,Christian
872,John W. North High School,Riverside,riverside,Christian
873,Jurupa Valley High School,Jurupa Valley,riverside,Christian
874,La Familia High School,Thermal,riverside,Christian
875,La Quinta High School,La Quinta,riverside,Christian
876,La Sierra Adventist Academy,Riverside,riverside,Christian
877,La Sierra High School,Riverside,riverside,Christian
878,Lakeside High School,Lake Elsinore,riverside,Christian
879,Lee Pollard High School,Corona,riverside,Christian
880,Linfield Christian School,Temecula,riverside,Christian
881,Martin Luther King Jr. High School,Riverside,riverside,Christian
882,Mater Dei High School,Mecca,riverside,Christian
883,Mesa Grande Academy,Calimesa,riverside,Christian
884,Mojave Desert  Military Academy,Desert Hot Springs,riverside,Christian
885,Mount San Jacinto High School,Cathedral City,riverside,Christian
886,Moreno Valley High School,Moreno Valley,riverside,Christian
887,Murrieta Mesa High School,Murrieta,riverside,Christian
888,Murrieta Valley High School,Murrieta,riverside,Christian
889,Norco High School,Norco,riverside,Christian
890,Norte Vista High School,Riverside,riverside,Christian
891,Notre Dame Catholic High School,Riverside,riverside,Christian
892,Nuview Bridge Academy,Nuevo,riverside,Christian
893,Orange Grove High School,Corona,riverside,Christian
894,Palm Desert High School,Palm Desert,riverside,Christian
895,Palm Springs High School,Palm Springs,riverside,Christian
896,Palm Valley High School,Rancho Mirage,riverside,Christian
897,Palo Verde Valley High School,Blythe,riverside,Christian
898,Paloma Valley High School,Menifee,riverside,Christian
899,Patriot High School,Riverside,riverside,Christian
900,Perris High School,Perris,riverside,Christian
901,Quadrille Academy,Indio,riverside,Christian
902,Polytechnic High School,Riverside,riverside,Christian
903,Ramona High School,Riverside,riverside,Christian
904,Rancho Christian School,Temecula,riverside,Christian
905,Rancho Mirage High School,Rancho Mirage,riverside,Christian
906,Rancho Verde High School,Moreno Valley,riverside,Christian
907,River Springs Charter School,County wide charter school,riverside,Christian
908,Rubidoux High School,Riverside,riverside,Christian
909,San Gorgonio  School,Cabazon,riverside,Christian
910,San Jacinto Senior High School,San Jacinto,riverside,Christian
911,Santiago High School,Corona,riverside,Christian
912,Seaview High School,Thermal/Mecca,riverside,Christian
913,Shadow Hills High School,Indio,riverside,Christian
914,Sherman Indian High School,Riverside,riverside,Christian
915,Southwest Educational Center,Wildomar,riverside,Christian
916,Summit High School,La Quinta,riverside,Christian
917,Sunnymead High School,Moreno Valley,riverside,Christian
918,Tahquitz High School,Hemet,riverside,Christian
919,Temecula Preparatory School,French Valley,riverside,Christian
920,Temecula Valley High School,Temecula,riverside,Christian
921,Temescal Canyon High School,Lake Elsinore,riverside,Christian
922,The Ranch Academy,1000 Palms,riverside,Christian
923,Val Verde High School,Perris,riverside,Christian
924,Valley View High School,Moreno Valley,riverside,Christian
925,Vista Calimesa High School,Calimesa/Yucaipa,riverside,Christian
926,Vista del Lago High School,Moreno Valley,riverside,Christian
927,Vista Murrieta High School,Murrieta,riverside,Christian
928,West Shores High School,Salton City/Mecca,riverside,Christian
929,West Valley High School,Hemet,riverside,Christian
930,Woodcrest Christian School,Riverside,riverside,Christian
931,Xavier College Preparatory,Palm Desert,riverside,Christian
932,American Legion High School,Central Sacramento,sacramento,Christian
933,Arthur A. Benjamin Health Professions High School,Sacramento,sacramento,Christian
934,Bella Vista High School,Fair Oaks,sacramento,Christian
935,C. K. McClatchy High School,Sacramento,sacramento,Christian
936,Calvine High School,Sacramento,sacramento,Christian
937,Casa Roble High School,Orangevale,sacramento,Christian
938,Center High School,Antelope,sacramento,Christian
939,Christian Brothers High School,Central Sacramento,sacramento,Christian
940,Cordova High School,Rancho Cordova,sacramento,Christian
941,Cosumnes Oaks High School,Elk Grove,sacramento,Christian
942,Del Campo High School,Fair Oaks,sacramento,Christian
943,East Anthwood Angles High School,East Sacramento,sacramento,Christian
944,East Side High School,East Sacramento,sacramento,Christian
945,El Camino Fundamental High School,Sacramento,sacramento,Christian
946,Elk Grove Charter School,Elk Grove,sacramento,Christian
947,Elk Grove High School,Elk Grove,sacramento,Christian
948,Encina High School,Sacramento,sacramento,Christian
949,Florin High School,South Sacramento,sacramento,Christian
950,Folsom High School,Folsom,sacramento,Christian
951,Foothill High School,Sacramento,sacramento,Christian
952,Franklin D. Roosevelt School,Sacramento,sacramento,Christian
953,Franklin High School,Elk Grove,sacramento,Christian
954,Galt High School,Galt,sacramento,Christian
955,Grant Union High School,North Sacramento,sacramento,Christian
956,Golden Valley Charter School,Sacramento,sacramento,Christian
957,Highlands High School,North Highlands,sacramento,Christian
958,Hiram W. Johnson High School,Sacramento,sacramento,Christian
959,Inderkum High School,Sacramento,sacramento,Christian
960,Jane Lathrop School,Carmichael,sacramento,Christian
961,Jesuit High School of Sacramento,Carmichael,sacramento,Christian
962,John F. Kennedy High School,South Sacramento,sacramento,Christian
963,K. Robinson Anthwood Continuation High School,East Sacramento,sacramento,Christian
964,Laguna Creek High School,Elk Grove,sacramento,Christian
965,Lexington Union High School,Central Sacramento,sacramento,Christian
966,Loretto High School,Sacramento,sacramento,Christian
967,Luther Burbank High School,Sacramento,sacramento,Christian
968,Lutheran School,Sacramento,sacramento,Christian
969,Mesa Verde High School,Citrus Heights,sacramento,Christian
970,Mira Loma High School,Sacramento,sacramento,Christian
971,Monterey Trail High School,Elk Grove,sacramento,Christian
972,Natomas Charter School,Sacramento,sacramento,Christian
973,Natomas High School,Sacramento,sacramento,Christian
974,Pleasant Grove High School,Elk Grove,sacramento,Christian
975,Rio Americano High School,Sacramento,sacramento,Christian
976,Rio Linda High School,Rio Linda,sacramento,Christian
977,River Valley School,Sacramento,sacramento,Christian
978,Rochester High School,East Sacramento,sacramento,Christian
979,Rosemont High School,Sacramento,sacramento,Christian
980,Sacramento Adventist Academy,Sacramento,sacramento,Christian
981,Sacramento Country Day School,Sacramento,sacramento,Christian
982,Sacramento High School,Sacramento,sacramento,Christian
983,Sacramento New Technology High School,Sacramento,sacramento,Christian
984,Sacramento Preparatory Academy,Sacramento,sacramento,Christian
985,Sacramento Valley School,Sacramento,sacramento,Christian
986,Sacramento Waldorf School,Fair Oaks,sacramento,Christian
987,St. Francis High School,Sacramento,sacramento,Christian
988,San Juan High School,Citrus Heights,sacramento,Christian
989,Sheldon High School,Sacramento,sacramento,Christian
990,Tahaloma High School,Citrus Heights,sacramento,Christian
991,Upper Valley High School,East Sacramento,sacramento,Christian
992,Valley High School,South Sacramento,sacramento,Christian
993,Valley Oak Academy - Mariposa,Citrus Heights,sacramento,Christian
994,Victory Christian High School,Carmichael,sacramento,Christian
995,Vista del Lago High School,Folsom,sacramento,Christian
996,Vista Nueva Career & Technology High School,Sacramento,sacramento,Christian
997,West Campus High School,West Sacramento,sacramento,Christian
998,West Heights High School,West Sacramento,sacramento,Christian
999,Wizbin High School,East Sacramento,sacramento,Christian
1000,Anzar High School,San Juan Bautista,san benito,Christian
1001,San Benito High School,Hollister,san benito,Christian
1002,Alta Vista Public Charter,Adelanto,san bernardino,Christian
1003,Alta Vista Public Charter,Apple Valley,san bernardino,Christian
1004,Alta Vista Public Charter,Hesperia,san bernardino,Christian
1005,Alta Vista Public Charter,San Bernardino,san bernardino,Christian
1006,Alta Vista South Public Charter,Highland,san bernardino,Christian
1007,Apple Valley High School,Apple Valley,san bernardino,Christian
1008,Granite Hills High School,Apple Valley,san bernardino,Christian
1009,Barstow High School,San Bernardino,san bernardino,Christian
1010,Central High Continuation School,San Bernardino,san bernardino,Christian
1011,Big Bear High School,Big Bear City,san bernardino,Christian
1012,Big Bear STEM School,Big Bear City,san bernardino,Christian
1013,Chataqua High School,Big Bear City,san bernardino,Christian
1014,Big River School,Big River,san bernardino,Christian
1015,Alta Loma High School,San Bernardino,san bernardino,Christian
1016,Canyon View High School,San Bernardino,san bernardino,Christian
1017,Chaffey Adult School,San Bernardino,san bernardino,Christian
1018,Chaffey High School,San Bernardino,san bernardino,Christian
1019,Colony High School,San Bernardino,san bernardino,Christian
1020,Etiwanda High School,San Bernardino,san bernardino,Christian
1021,Los Osos High School,San Bernardino,san bernardino,Christian
1022,Montclair High School,San Bernardino,san bernardino,Christian
1023,Ontario High School,San Bernardino,san bernardino,Christian
1024,Rancho Cucamonga High School,San Bernardino,san bernardino,Christian
1025,Valley View High School,Ontario,san bernardino,Christian
1026,Chino High School,Chino,san bernardino,Christian
1027,Chino Hills High School,Chino Hills,san bernardino,Christian
1028,Don Antonio Lugo High School,San Bernardino,san bernardino,Christian
1029,Ruben S. Ayala High School,Chino Hills,san bernardino,Christian
1030,Bloomington High School,Bloomington,san bernardino,Christian
1031,Colton High School,Colton,san bernardino,Christian
1032,Grand Terrace High School,Grand Terrace,san bernardino,Christian
1033,Slover Mountain High School,Colton,san bernardino,Christian
1034,Washington Alternative High School,Colton,san bernardino,Christian
1035,Desert Sands Charter High School,Fontana,san bernardino,Christian
1036,Desert Sands Charter High School,Rialto,san bernardino,Christian
1037,A. B. Miller High School,Fontana,san bernardino,Christian
1038,Fontana High School,Fontana,san bernardino,Christian
1039,Henry J. Kaiser High School,Fontana,san bernardino,Christian
1040,Jurupa Hills High School,Fontana,san bernardino,Christian
1041,Summit High School,Fontana,san bernardino,Christian
1042,Hesperia High School,Hesperia,san bernardino,Christian
1043,Sultana High School,Hesperia,san bernardino,Christian
1044,Mojave Desert Public School,Amboy,san bernardino,Christian
1045,Twentynine Palms High School,Twentynine Palms,san bernardino,Christian
1046,Yucca Valley High School,Yucca Valley,san bernardino,Christian
1047,Black Rock High School,Joshua Tree,san bernardino,Christian
1048,Needles High School,San Bernardino,san bernardino,Christian
1049,The Grove School,San Bernardino,san bernardino,Christian
1050,Orangewood Contintuation High School,San Bernardino,san bernardino,Christian
1051,Redlands Citrus Valley High School,San Bernardino,san bernardino,Christian
1052,Redlands East Valley High School,San Bernardino,san bernardino,Christian
1053,Redlands High School,San Bernardino,san bernardino,Christian
1054,Doctor John H Milor High School,Rialto,san bernardino,Christian
1055,Dwight D. Eisenhower High School,Rialto,san bernardino,Christian
1056,Rialto High School,Rialto,san bernardino,Christian
1057,Wilmer Amina Carter High School,Rialto,san bernardino,Christian
1058,Zupanic High School,Rialto,san bernardino,Christian
1059,Rim of the World High School,Lake Arrowhead,san bernardino,Christian
1060,Arroyo Valley High School,San Bernardino,san bernardino,Christian
1061,Cajon High School,San Bernardino,san bernardino,Christian
1062,Pacific High School,San Bernardino,san bernardino,Christian
1063,San Andreas High School,San Bernardino,san bernardino,Christian
1064,San Bernardino High School,San Bernardino,san bernardino,Christian
1065,San Gorgonio High School,San Bernardino,san bernardino,Christian
1066,Sierra High School,San Bernardino,san bernardino,Christian
1067,Silver Valley High School,Yermo,san bernardino,Christian
1068,Chaparral High School,Phelan,san bernardino,Christian
1069,Serrano High School,San Bernardino,san bernardino,Christian
1070,Upland High School,San Bernardino,san bernardino,Christian
1071,Adelanto High School,Adelanto,san bernardino,Christian
1072,Maverick High School,Victorville,san bernardino,Christian
1073,Silverado High School,Victorville,san bernardino,Christian
1074,Victor Valley High School,Victorville,san bernardino,Christian
1075,Vista Calimesa High School,Yucaipa/Calimesa,san bernardino,Christian
1076,Yucaipa High School,Yucaipa,san bernardino,Christian
1077,Aquinas Catholic High School,San Bernardino,san bernardino,None
1078,Arrowhead Christian Academy,Redlands,san bernardino,None
1079,Bloomington Christian School,Big Bear Lake,san bernardino,None
1080,Bloomington Christian School,Bloomington,san bernardino,None
1081,Crestline High School,Crestline,san bernardino,None
1082,Grace Chapel of the Desert School,Yucca Valley,san bernardino,None
1083,Loma Linda Academy,Loma Linda,san bernardino,None
1084,Mesa Grande Academy,Calimesa/Yucaipa,san bernardino,None
1085,Mojave Desert  Military Academy,Yucca Valley,san bernardino,None
1086,Riverside Prep,Oro Grande,san bernardino,None
1087,Adventist Academy,Yucca Valley/29 Palms,san bernardino,None
1088,Adventist Academy,Yucaipa/Calimesa,san bernardino,None
1089,Upland Christian Academy,Rancho Cucamonga,san bernardino,None
1090,Xavier College Preparatory High School,Palm Desert,san bernardino,None
1091,Warner High School,Warner Springs,san diego,None
1092,Borrego Springs High School,Borrego Springs,san diego,None
1093,Palm Canyon High School,Borrego Springs,san diego,None
1094,Carlsbad High School,Carlsbad,san diego,None
1095,Carlsbad Village Academy 10-12,Carlsbad,san diego,None
1096,Sage Creek High School,Carlsbad,san diego,None
1097,Coronado High School,Coronado,san diego,None
1098,Palm Academy for Learning,Coronado,san diego,None
1099,Diego Valley Charter High School,Escondido,san diego,None
1100,Center City High School,Escondido,san diego,None
1101,Escondido Charter High School,Escondido,san diego,None
1102,Escondido High School,Escondido,san diego,None
1103,Orange Glen High School,Escondido,san diego,None
1104,San Pasqual High School,Escondido,san diego,None
1105,Valley High School,Escondido,san diego,None
1106,Classical Academy High School,Escondido,san diego,None
1107,Del Lago Academy,Escondido,san diego,None
1108,Fallbrook Union High School,Fallbrook,san diego,None
1109,Ivy High School,Fallbrook,san diego,None
1110,Oasis High School,Fallbrook,san diego,None
